Overall,Overall.1,Overall.2,Overall.3,Overall.4,Overall.5,Conf.,Conf..1,Home,Home.1,Away,Away.1,Points,Points.1,School Advanced,School Advanced.1,School Advanced.2,School Advanced.3,School Advanced.4,School Advanced.5,School Advanced.6,School Advanced.7,School Advanced.8,School Advanced.9,School Advanced.10,School Advanced.11,School Advanced.12,Year
34,20,14,.588,0.75,-2.19,11,7,8,3,7,8,2702,2602,71.5,109.2,.302,.408,.569,47.2,56.6,9.3,7.6,.539,14.3,24.4,.223,2018.0
33,14,19,.424,8.13,7.13,4,14,9,6,1,10,2630,2597,71.0,111.4,.354,.340,.570,53.5,63.6,7.3,10.3,.543,16.0,34.1,.246,2018.0
31,13,18,.419,6.88,9.49,4,14,9,7,0,10,2258,2339,69.6,103.9,.298,.349,.529,49.5,51.8,6.9,11.1,.499,14.7,29.6,.209,2018.0
30,11,19,.367,-9.82,-3.53,8,10,9,4,2,14,2047,2180,68.7,98.9,.324,.348,.515,50.0,52.7,9.9,10.2,.486,17.7,31.7,.216,2018.0
32,12,20,.375,-17.66,-10.50,9,9,9,2,2,17,1991,2161,65.4,94.0,.259,.377,.462,47.5,49.0,11.1,8.8,.434,14.6,31.0,.169,2018.0
33,15,18,.455,-13.39,-6.12,8,6,10,6,3,12,2405,2482,72.4,98.8,.312,.302,.525,49.2,46.3,9.3,8.9,.501,17.1,27.3,.205,2018.0
36,23,13,.639,-0.30,-4.87,11,7,12,4,9,8,2587,2369,67.8,105.2,.314,.311,.538,54.0,56.8,8.9,14.9,.507,16.3,33.1,.224,2018.0
32,10,22,.313,-5.47,-2.15,6,12,7,7,3,11,2341,2414,69.4,103.0,.345,.360,.520,49.8,47.8,10.0,9.5,.480,14.5,29.8,.251,2018.0
39,31,8,.795,21.39,11.88,13,5,14,3,8,3,3174,2803,70.2,115.5,.270,.412,.594,50.3,55.7,9.2,10.9,.575,14.6,29.3,.191,2018.0
32,10,22,.313,-10.19,-1.02,5,9,6,8,3,11,2251,2447,72.4,96.8,.344,.455,.520,44.0,46.8,8.7,6.7,.483,16.0,21.7,.245,2018.0
37,25,12,.676,12.85,8.74,10,8,14,3,6,5,2630,2478,66.6,106.4,.338,.368,.560,47.4,54.4,11.9,9.3,.525,15.3,25.8,.248,2018.0
30,10,20,.333,-11.17,-4.31,6,8,8,6,2,14,2182,2328,71.4,101.4,.337,.247,.531,48.3,55.4,10.0,7.8,.500,16.6,29.6,.233,2018.0
34,17,17,.500,-3.73,-1.76,9,9,13,3,2,11,2482,2502,70.3,103.1,.325,.382,.525,50.5,45.1,8.4,9.7,.487,15.7,31.7,.237,2018.0
37,26,11,.703,17.24,10.73,10,8,16,2,4,6,2840,2599,69.8,109.6,.440,.258,.555,53.6,49.0,8.0,13.7,.518,15.8,35.5,.307,2018.0
32,13,19,.406,1.70,2.54,7,11,10,4,2,10,2333,2360,69.0,102.8,.310,.373,.534,49.7,50.2,8.3,7.3,.490,14.6,25.5,.244,2018.0
31,10,21,.323,-9.77,-6.04,7,11,8,6,2,14,2207,2307,68.9,102.9,.297,.414,.566,48.5,49.7,6.1,8.8,.532,17.4,21.1,.228,2018.0
33,19,14,.576,-5.19,-7.23,11,7,11,4,8,7,2500,2296,71.1,105.0,.374,.370,.524,51.4,51.4,11.8,6.4,.494,15.3,32.8,.245,2018.0
30,16,14,.533,-6.41,-5.65,11,7,9,6,7,8,2336,2333,71.0,107.0,.260,.391,.563,49.9,51.3,8.4,5.1,.532,15.5,25.4,.202,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
37,22,15,.595,-2.68,-6.24,9,9,13,7,7,6,2621,2353,64.1,108.3,.339,.413,.579,53.1,58.0,9.0,9.1,.539,16.2,24.0,.268,2018.0
33,23,10,.697,-2.10,-3.80,10,4,13,2,10,7,2708,2564,77.0,105.0,.405,.399,.557,52.2,56.0,8.4,8.0,.518,16.9,28.3,.291,2018.0
32,7,25,.219,-10.45,-2.22,4,14,5,10,2,14,2038,2242,66.6,94.2,.315,.355,.505,49.1,52.1,7.4,9.5,.484,18.5,28.9,.192,2018.0
33,15,18,.455,-3.76,0.89,9,7,8,5,6,10,2485,2586,72.3,103.4,.399,.291,.545,51.2,48.4,9.1,8.9,.503,18.0,32.5,.291,2018.0
35,18,17,.514,-8.60,-8.19,10,8,12,4,5,11,2696,2674,72.9,105.3,.382,.397,.555,51.0,47.3,7.6,7.6,.523,17.0,29.7,.266,2018.0
33,7,26,.212,-18.31,-4.31,3,15,5,11,2,13,2088,2445,69.7,90.8,.335,.392,.511,46.2,44.9,9.5,9.1,.477,20.2,22.9,.230,2018.0
34,27,7,.794,7.58,-2.55,16,2,14,1,10,4,2829,2408,72.7,114.1,.370,.391,.575,54.7,60.9,10.3,11.1,.535,15.6,36.1,.282,2018.0
33,18,15,.545,10.93,8.02,8,10,14,4,3,8,2559,2463,69.4,111.3,.326,.402,.575,49.4,51.0,11.0,9.7,.545,14.7,29.2,.238,2018.0
33,17,16,.515,1.33,-0.12,7,11,11,5,2,10,2468,2331,69.1,107.7,.371,.408,.559,49.6,56.1,8.6,10.4,.523,15.5,27.6,.269,2018.0
32,16,16,.500,-6.28,-3.31,9,9,12,4,3,11,2235,2187,67.0,103.4,.243,.430,.538,49.3,55.0,9.6,4.1,.513,15.5,27.1,.174,2018.0
36,22,14,.611,14.30,9.07,9,9,16,6,4,7,2721,2533,69.7,106.9,.319,.352,.552,49.7,50.5,9.9,15.0,.518,14.7,28.6,.235,2018.0
38,32,6,.842,10.37,1.80,15,3,14,1,9,4,2721,2377,65.9,108.6,.319,.357,.602,51.3,59.7,9.6,6.8,.577,17.3,22.4,.231,2018.0
31,9,22,.290,-12.71,-5.25,6,12,8,6,1,16,2154,2326,69.7,98.5,.334,.280,.511,50.3,45.2,10.0,8.9,.483,16.4,29.4,.218,2018.0
31,11,20,.355,-4.34,1.09,5,13,7,7,3,12,2226,2369,67.8,105.1,.327,.317,.531,50.4,54.7,10.2,7.1,.498,16.3,34.3,.232,2018.0
32,6,26,.188,-14.64,-3.27,3,13,4,8,2,16,2140,2408,71.6,92.4,.298,.398,.500,47.8,49.4,8.9,8.3,.468,18.8,25.6,.206,2018.0
31,14,17,.452,-5.04,-4.13,9,9,8,3,5,8,2147,2175,67.5,101.0,.376,.360,.548,49.6,58.8,8.7,11.4,.516,19.8,31.0,.261,2018.0
31,6,25,.194,-12.48,-3.57,4,14,4,9,2,10,2239,2515,71.5,99.5,.358,.469,.560,47.8,48.5,5.8,6.4,.527,19.6,22.6,.256,2018.0
35,21,14,.600,12.50,9.70,9,9,13,7,5,5,2846,2748,70.4,114.3,.288,.444,.601,49.0,55.7,8.6,9.6,.568,15.4,27.6,.232,2018.0
36,25,11,.694,4.21,0.44,12,6,15,2,6,8,3017,2849,76.3,108.7,.335,.453,.583,46.7,59.0,9.1,12.7,.548,15.5,22.5,.256,2018.0
32,19,13,.594,13.78,7.94,8,10,15,3,2,8,2338,2140,66.6,109.4,.380,.364,.584,53.6,55.7,6.5,11.6,.546,17.9,31.6,.287,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
36,25,11,.694,-2.02,-3.84,12,4,15,2,9,7,2630,2466,69.2,105.6,.307,.450,.550,49.1,59.1,10.8,7.3,.531,15.5,26.8,.198,2018.0
32,7,25,.219,-24.63,-7.56,3,13,6,5,0,18,1992,2473,67.6,92.1,.294,.393,.474,45.8,48.9,7.0,5.0,.441,16.6,28.2,.198,2018.0
33,13,20,.394,-1.65,1.10,5,13,11,6,1,11,2374,2465,67.3,104.5,.251,.382,.553,48.9,58.7,7.0,7.7,.525,16.5,27.2,.187,2018.0
30,12,18,.400,-9.53,-5.77,6,10,9,7,3,11,2286,2356,72.1,105.3,.401,.361,.558,47.0,55.0,9.7,7.2,.523,16.5,26.7,.284,2018.0
29,12,17,.414,-12.06,-6.10,8,10,8,5,4,12,2184,2209,73.5,101.6,.330,.334,.528,50.6,41.9,7.3,10.6,.494,16.8,30.1,.234,2018.0
34,21,13,.618,1.81,2.16,10,8,14,5,5,5,2408,2420,66.3,105.4,.436,.346,.545,51.1,53.5,8.8,11.3,.507,17.4,35.1,.301,2018.0
34,19,15,.559,-0.87,-3.50,11,7,11,3,7,9,2561,2373,65.8,112.9,.367,.404,.588,54.1,55.8,8.0,5.7,.551,16.3,31.4,.279,2018.0
32,22,10,.688,12.83,6.96,11,7,11,3,8,4,2361,2173,67.8,107.9,.291,.360,.551,50.6,48.5,9.6,11.0,.531,14.6,29.1,.192,2018.0
34,16,18,.471,-3.56,-1.15,8,10,9,5,6,11,2449,2404,68.7,102.6,.273,.438,.540,51.2,51.1,10.8,7.0,.517,16.7,28.1,.187,2018.0
41,33,8,.805,19.03,9.41,13,5,15,1,6,5,3019,2596,65.7,111.0,.307,.433,.564,50.3,53.6,9.6,8.1,.545,12.4,25.4,.203,2018.0
35,30,5,.857,22.41,7.10,16,2,16,1,8,1,2807,2271,68.1,117.3,.359,.363,.601,57.6,67.6,6.0,18.5,.569,16.4,37.0,.268,2018.0
33,25,8,.758,10.29,2.83,16,2,12,2,12,2,2479,2188,67.8,110.0,.306,.339,.565,54.1,51.9,8.9,7.1,.534,15.9,31.2,.227,2018.0
33,16,17,.485,-4.15,-4.25,8,10,9,7,6,9,2259,2260,67.5,100.6,.282,.376,.532,50.8,51.4,8.7,10.7,.508,16.3,25.6,.190,2018.0
32,15,17,.469,7.00,6.91,4,14,11,6,2,9,2405,2402,70.2,105.8,.351,.320,.523,50.0,54.9,8.0,12.7,.487,13.3,29.9,.247,2018.0
32,12,20,.375,6.85,9.16,5,13,10,8,1,10,2426,2500,70.7,105.5,.338,.394,.523,49.7,55.6,8.7,11.2,.483,13.6,31.3,.247,2018.0
37,25,12,.676,11.71,6.82,9,9,19,2,4,8,2716,2507,68.4,106.6,.310,.373,.550,51.4,49.1,9.5,14.8,.524,16.4,31.8,.214,2018.0
32,4,28,.125,-21.41,-8.13,4,14,3,6,1,21,2075,2500,69.9,91.4,.291,.287,.461,47.2,43.1,8.2,5.2,.426,15.7,29.8,.196,2018.0
33,20,13,.606,13.81,9.19,10,8,13,3,5,6,2399,2246,67.3,107.2,.390,.453,.573,53.2,55.8,7.6,11.3,.537,18.3,31.2,.286,2018.0
33,18,15,.545,3.06,0.43,7,11,10,5,4,8,2313,2197,66.2,105.5,.270,.362,.525,54.0,49.9,7.0,11.2,.496,14.8,33.2,.193,2018.0
31,11,20,.355,-2.41,-1.25,7,11,6,6,4,12,2336,2372,71.0,102.9,.441,.334,.562,51.0,50.7,8.7,7.4,.523,18.5,26.6,.314,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
34,26,8,.765,6.29,-2.24,16,2,14,0,8,6,2625,2329,69.9,108.8,.386,.272,.549,53.3,45.3,10.9,9.2,.513,15.0,33.3,.273,2018.0
32,13,19,.406,-8.69,-3.52,6,12,8,6,3,12,2434,2524,72.1,104.2,.387,.379,.533,50.1,49.1,7.5,5.6,.490,14.9,29.0,.281,2018.0
29,8,21,.276,-10.65,-1.91,4,14,7,6,1,15,2043,2204,70.6,99.3,.358,.381,.528,51.4,48.3,8.0,8.8,.492,19.1,32.6,.251,2018.0
31,13,18,.419,-15.11,-11.98,7,8,8,2,3,15,2273,2338,71.4,101.1,.394,.254,.508,51.3,49.4,9.9,8.1,.461,16.3,34.9,.286,2018.0
32,18,14,.563,-8.13,-8.03,12,6,12,3,6,11,2331,2301,67.1,107.4,.299,.480,.574,43.3,55.5,10.2,10.7,.546,14.7,20.5,.219,2018.0
32,26,6,.813,6.87,-3.53,16,2,14,2,10,3,2515,2117,68.1,115.3,.381,.399,.591,54.1,54.1,9.9,8.7,.558,15.3,33.0,.280,2018.0
32,20,12,.625,-6.91,-7.20,11,7,9,6,9,6,2199,2125,66.9,102.3,.361,.358,.540,54.2,58.4,9.6,4.2,.503,18.2,32.3,.260,2018.0
33,21,12,.636,12.91,6.70,11,7,16,3,4,5,2682,2477,72.1,112.3,.342,.344,.562,50.3,55.0,10.2,9.2,.534,14.3,33.4,.238,2018.0
33,22,11,.667,10.99,7.33,13,5,16,1,4,8,2386,2265,68.1,105.7,.376,.352,.531,48.7,54.4,8.9,12.8,.491,13.9,30.1,.270,2018.0
37,29,8,.784,14.44,4.93,15,3,14,1,11,3,3055,2703,70.5,115.5,.363,.404,.582,49.4,57.0,8.7,10.9,.548,12.0,26.4,.269,2018.0
33,20,13,.606,7.20,1.87,8,10,13,6,5,6,2753,2577,73.7,111.1,.434,.277,.571,53.7,54.7,7.4,9.7,.535,16.4,34.6,.306,2018.0
31,10,21,.323,-8.38,-4.31,6,10,8,7,2,12,2103,2085,66.6,101.9,.302,.430,.510,53.9,50.8,5.4,5.6,.472,14.9,30.9,.222,2018.0
34,19,15,.559,5.81,3.30,12,6,13,4,4,8,2795,2641,73.6,111.3,.343,.474,.582,46.9,57.4,10.0,7.3,.544,14.9,26.4,.266,2018.0
34,28,6,.824,9.06,-1.10,12,2,14,1,8,3,2572,2183,70.1,107.5,.287,.367,.538,56.0,49.9,7.9,8.6,.519,15.2,34.2,.184,2018.0
33,16,17,.485,-9.01,-5.78,11,7,10,3,5,13,2297,2322,68.7,100.9,.420,.247,.533,51.2,59.3,10.5,9.9,.497,18.8,33.2,.283,2018.0
33,19,14,.576,-4.84,-4.21,12,6,9,5,10,7,2748,2769,74.9,110.3,.380,.357,.548,50.0,42.1,6.9,10.1,.508,12.9,30.8,.277,2018.0
32,21,11,.656,-3.54,-5.86,15,3,12,3,9,7,2641,2411,76.9,107.3,.349,.366,.568,50.7,50.4,12.5,10.1,.537,17.4,30.5,.250,2018.0
30,14,16,.467,-7.25,-5.53,7,7,10,7,4,9,2248,2197,71.0,104.7,.321,.362,.541,50.6,51.6,11.5,8.4,.514,16.1,30.6,.220,2018.0
33,14,19,.424,-12.99,-10.19,11,5,8,6,5,11,2399,2417,72.3,100.2,.321,.355,.523,51.9,52.4,8.6,11.0,.494,18.1,33.0,.215,2018.0
37,26,11,.703,20.07,11.78,11,7,12,3,6,5,3018,2711,71.7,113.4,.280,.351,.551,56.4,61.0,8.0,11.1,.520,14.0,37.4,.208,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
35,20,15,.571,-12.58,-11.22,11,5,12,0,5,13,2623,2605,71.1,104.3,.386,.352,.551,50.7,57.5,8.4,5.8,.515,16.8,28.7,.275,2018.0
35,19,16,.543,-13.18,-12.31,9,7,12,2,3,13,2520,2425,68.8,104.3,.290,.311,.538,53.4,57.4,7.4,9.4,.512,17.4,33.9,.199,2018.0
32,12,20,.375,-7.63,-0.19,6,12,7,6,2,13,2427,2612,73.2,101.6,.353,.365,.553,45.0,47.6,10.6,4.7,.521,16.0,20.2,.249,2018.0
32,15,17,.469,-1.86,-1.58,5,9,8,6,5,10,2382,2264,68.8,107.8,.305,.436,.583,50.9,50.4,6.6,6.2,.552,16.5,22.7,.232,2018.0
33,14,19,.424,-11.40,-1.74,7,7,10,2,4,17,2668,2873,75.6,106.6,.277,.459,.573,46.4,52.2,6.9,7.5,.543,17.0,26.0,.210,2018.0
38,20,18,.526,1.16,-0.40,8,10,14,6,6,11,2828,2703,69.9,105.0,.339,.379,.543,52.7,47.0,7.2,8.2,.519,16.0,30.3,.224,2018.0
33,23,10,.697,3.64,-1.61,14,4,12,2,9,5,2472,2270,68.0,108.9,.347,.453,.597,51.1,60.9,9.7,6.2,.569,17.9,25.5,.255,2018.0
32,5,27,.156,-14.67,-1.04,2,16,2,10,3,14,2100,2512,70.7,92.1,.429,.334,.499,48.1,45.0,7.9,9.5,.450,19.1,27.1,.301,2018.0
38,26,12,.684,3.67,-2.27,11,7,14,3,7,8,3080,2776,73.7,108.8,.334,.396,.566,51.3,41.1,7.2,8.1,.542,14.6,25.9,.230,2018.0
32,13,19,.406,-6.71,-1.71,6,12,11,4,1,13,2319,2407,69.3,104.2,.335,.275,.538,49.7,34.7,9.6,5.3,.502,14.9,28.3,.243,2018.0
32,16,16,.500,4.00,3.87,7,11,12,4,1,9,2056,1990,64.3,99.6,.313,.399,.522,51.2,47.9,8.0,7.4,.487,15.6,24.5,.226,2018.0
32,22,10,.688,4.83,-4.07,15,3,12,2,8,6,2486,2112,70.7,109.9,.312,.400,.572,52.6,58.2,10.4,8.7,.543,15.5,29.0,.228,2018.0
32,15,17,.469,9.63,8.37,6,12,11,6,3,9,2203,2127,65.3,104.6,.297,.397,.532,50.4,58.0,7.4,13.2,.497,15.3,29.5,.222,2018.0
29,4,25,.138,-21.02,-4.18,1,17,1,11,3,13,1868,2264,72.2,89.2,.350,.267,.477,48.9,40.3,8.6,11.1,.450,20.2,32.1,.214,2018.0
36,21,15,.583,13.64,7.92,8,10,11,6,5,7,2698,2471,66.5,111.5,.314,.393,.551,51.6,55.0,8.6,9.6,.514,12.7,30.8,.238,2018.0
33,19,14,.576,-1.82,-3.76,10,8,11,4,7,8,2580,2516,72.2,107.5,.355,.398,.562,50.4,62.6,8.3,11.9,.520,15.9,28.1,.273,2018.0
31,14,17,.452,-2.52,-1.65,7,11,11,5,2,10,2334,2353,72.6,100.5,.306,.349,.538,48.4,52.8,8.9,8.8,.508,16.0,22.4,.218,2018.0
34,25,9,.735,17.67,9.02,15,3,16,2,6,2,2591,2297,67.9,111.0,.311,.342,.570,53.6,52.5,9.0,11.3,.541,14.9,30.1,.227,2018.0
32,18,14,.563,13.81,10.56,8,10,13,2,2,9,2718,2614,76.5,109.8,.332,.405,.569,49.8,50.2,8.4,11.0,.535,15.2,28.4,.247,2018.0
36,21,15,.583,12.45,9.12,8,10,15,6,3,7,2757,2637,70.8,107.4,.322,.383,.538,51.1,53.6,9.2,10.4,.498,15.4,34.2,.244,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
32,25,7,.781,9.27,-1.27,15,3,12,2,10,3,2347,2010,66.6,109.3,.330,.338,.537,52.8,57.2,11.1,13.6,.507,13.2,32.3,.228,2018.0
31,9,22,.290,-9.88,0.33,4,10,8,4,1,15,2373,2588,72.6,103.8,.270,.363,.550,47.9,46.2,7.7,6.7,.525,15.9,25.6,.191,2018.0
32,11,21,.344,-6.66,1.05,5,9,8,5,3,14,2332,2484,68.0,104.7,.257,.319,.517,52.2,51.5,7.8,9.3,.492,15.4,36.2,.176,2018.0
36,23,13,.639,10.70,4.84,10,8,16,3,4,7,2817,2606,69.6,110.9,.317,.421,.568,52.3,56.4,9.8,12.3,.533,14.9,31.0,.242,2018.0
32,16,16,.500,7.31,4.56,7,11,12,4,1,9,2339,2251,67.4,106.8,.387,.328,.555,52.1,57.2,9.7,10.3,.521,16.8,31.8,.274,2018.0
32,14,18,.438,-0.55,1.80,9,9,8,8,6,9,2280,2316,67.0,105.6,.401,.258,.537,50.9,49.1,9.1,12.3,.494,14.8,30.4,.292,2018.0
39,26,13,.667,15.85,7.79,9,9,15,4,6,7,2915,2601,67.9,109.3,.315,.331,.553,51.8,51.2,10.6,13.3,.526,15.0,31.7,.221,2018.0
33,24,9,.727,2.24,-3.16,12,2,11,3,9,4,2506,2274,70.2,105.3,.334,.427,.555,51.0,56.9,8.2,7.0,.533,14.8,23.6,.220,2018.0
32,6,26,.188,-6.50,1.82,2,16,5,11,0,14,2283,2516,67.8,104.4,.353,.296,.534,50.8,54.6,7.1,6.5,.500,15.0,29.4,.248,2018.0
32,8,24,.250,-1.87,8.48,0,18,7,11,0,10,1985,2316,65.7,93.7,.319,.475,.515,45.5,58.7,6.5,9.4,.482,18.7,23.3,.222,2018.0
32,10,22,.313,-6.60,2.43,4,14,7,9,3,9,2221,2372,68.5,100.5,.342,.381,.548,46.1,49.6,7.5,11.2,.521,15.9,19.7,.232,2018.0
34,20,14,.588,-0.14,-1.04,9,9,8,5,10,6,2897,2698,76.5,110.1,.322,.378,.539,50.8,53.0,12.7,9.2,.508,13.8,34.9,.227,2018.0
34,16,18,.471,-10.13,-7.71,12,6,10,2,5,15,2559,2609,72.6,102.9,.388,.368,.529,48.6,49.3,10.3,8.7,.496,16.0,31.4,.260,2018.0
32,11,21,.344,-14.33,-5.53,4,14,8,8,2,13,2124,2273,64.7,102.1,.290,.439,.530,47.7,49.1,8.4,5.6,.504,15.5,26.6,.199,2018.0
29,13,16,.448,-2.44,-1.97,5,9,7,5,5,9,2106,2083,66.4,105.8,.267,.462,.563,49.0,48.7,6.9,8.7,.540,15.1,22.5,.188,2018.0
35,21,14,.600,11.12,10.23,10,8,13,4,4,7,2575,2544,69.5,104.1,.386,.329,.534,49.6,53.9,9.6,9.8,.496,15.1,28.8,.272,2018.0
37,30,7,.811,23.41,8.74,15,3,16,1,8,2,2974,2431,68.1,117.7,.356,.401,.606,51.8,57.9,8.4,12.5,.577,14.0,27.8,.265,2018.0
33,18,15,.545,-1.48,-3.24,7,7,13,3,4,10,2716,2535,74.6,109.9,.315,.446,.570,49.6,50.8,10.7,8.8,.541,14.1,26.2,.227,2018.0
33,12,21,.364,-9.50,-4.44,7,11,6,6,3,12,2364,2531,67.9,102.8,.370,.479,.539,49.2,51.3,7.9,6.9,.503,16.9,27.8,.261,2018.0
36,23,13,.639,-2.62,-4.09,12,6,12,2,7,10,2422,2336,63.4,104.3,.307,.397,.528,52.3,52.0,9.7,9.1,.494,16.1,33.7,.223,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,2018.0
34,26,8,.765,11.81,4.61,15,3,15,1,7,4,2583,2338,69.2,109.0,.301,.320,.539,50.0,54.5,10.5,9.5,.511,13.1,31.0,.209,2018.0
31,7,24,.226,-8.63,-0.04,4,14,5,10,2,13,2114,2347,70.1,96.4,.369,.467,.514,49.7,53.2,7.6,6.0,.480,18.3,28.1,.247,2018.0
32,12,20,.375,-0.17,3.61,9,9,6,9,4,8,2297,2418,68.3,103.9,.297,.363,.550,46.8,57.7,11.0,6.6,.521,15.2,23.4,.213,2018.0
32,22,10,.688,0.94,-2.65,15,3,12,1,8,7,2620,2505,74.8,109.1,.421,.338,.545,51.7,49.2,10.0,10.1,.526,15.0,33.4,.256,2018.0
33,16,17,.485,-7.98,-6.10,9,9,4,6,9,11,2272,2334,70.8,96.9,.343,.377,.506,49.1,48.1,10.9,7.4,.474,17.9,31.3,.229,2018.0
34,15,19,.441,5.50,6.84,3,15,13,9,0,9,2216,2204,66.9,96.4,.311,.245,.473,51.9,40.1,10.4,11.6,.442,14.5,33.7,.200,2018.0
32,7,25,.219,-8.90,-0.74,4,14,6,9,1,12,2157,2358,67.5,99.5,.288,.316,.526,47.1,52.5,7.9,9.6,.500,15.8,24.3,.197,2018.0
31,10,21,.323,-11.38,-6.98,5,13,5,9,4,11,2129,2237,69.5,98.4,.296,.329,.512,55.2,50.4,6.9,6.6,.486,18.1,33.2,.196,2018.0
31,18,13,.581,-6.12,-6.71,12,6,11,3,7,10,2450,2355,70.8,109.8,.341,.363,.571,48.3,48.4,9.4,6.0,.534,14.3,26.1,.260,2018.0
32,16,16,.500,3.78,1.90,10,8,10,3,4,9,2371,2311,71.2,103.2,.346,.388,.521,49.3,54.1,8.8,8.5,.488,12.3,23.5,.238,2018.0
33,17,16,.515,2.58,2.92,9,9,12,6,3,7,2170,2157,64.7,101.2,.463,.330,.513,53.0,53.8,9.2,13.1,.475,16.6,33.8,.302,2018.0
36,30,6,.833,12.86,0.33,16,2,18,2,11,1,2772,2321,63.6,119.8,.304,.351,.615,55.1,54.9,6.9,6.8,.587,13.7,29.2,.234,2018.0
32,14,18,.438,-5.24,-4.37,6,12,8,5,3,12,2085,2113,65.0,98.0,.277,.426,.523,49.0,51.2,9.9,10.8,.492,17.3,27.1,.200,2018.0
36,21,15,.583,-5.14,-4.80,12,6,14,2,5,10,2571,2477,69.1,102.9,.340,.360,.523,52.6,58.6,8.8,5.6,.486,16.1,32.8,.243,2018.0
32,10,22,.313,-11.10,-3.37,6,12,8,6,2,14,2483,2639,71.9,108.0,.322,.419,.583,45.8,60.9,10.0,6.9,.550,17.0,25.0,.246,2018.0
34,20,14,.588,2.86,0.50,9,9,12,7,8,6,2385,2264,67.2,103.6,.390,.447,.567,49.7,59.2,8.1,10.7,.533,17.5,23.4,.277,2018.0
33,22,11,.667,12.23,3.91,11,7,13,2,5,7,2545,2240,70.4,109.6,.357,.360,.553,53.7,54.1,8.9,9.4,.519,14.6,31.9,.255,2018.0
39,22,17,.564,1.13,1.63,9,9,16,6,4,9,2685,2681,67.3,101.6,.294,.437,.522,50.8,55.3,7.9,9.6,.496,15.3,27.9,.199,2018.0
30,4,26,.133,-8.74,2.91,1,17,3,11,1,14,1974,2260,69.3,94.1,.345,.300,.524,52.7,54.6,6.4,7.5,.491,20.6,28.3,.239,2018.0
31,11,20,.355,-7.01,0.61,8,10,6,11,5,5,2048,2224,65.4,100.7,.313,.407,.533,46.2,56.3,8.3,6.4,.498,15.4,23.6,.227,2018.0
Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,2018.0
